associated_contig_396,VSDI02000400.1
associated_contig_387,VSDI02000391.1
associated_contig_388,VSDI02000392.1
associated_contig_389,VSDI02000393.1
associated_contig_390,VSDI02000394.1
associated_contig_391,VSDI02000395.1
associated_contig_392,VSDI02000396.1
associated_contig_393,VSDI02000397.1
associated_contig_394,VSDI02000398.1
associated_contig_395,VSDI02000399.1
associated_contig_386,VSDI02000390.1
associated_contig_397,VSDI02000401.1
associated_contig_398,VSDI02000402.1
associated_contig_399,VSDI02000403.1
associated_contig_400,VSDI02000404.1
associated_contig_401,VSDI02000405.1
associated_contig_402,VSDI02000406.1
associated_contig_403,VSDI02000407.1
associated_contig_404,VSDI02000408.1
associated_contig_377,VSDI02000381.1
associated_contig_369,VSDI02000373.1
associated_contig_370,VSDI02000374.1
associated_contig_371,VSDI02000375.1
associated_contig_372,VSDI02000376.1
associated_contig_373,VSDI02000377.1
associated_contig_374,VSDI02000378.1
associated_contig_375,VSDI02000379.1
associated_contig_376,VSDI02000380.1
associated_contig_405,VSDI02000409.1
associated_contig_378,VSDI02000382.1
associated_contig_379,VSDI02000383.1
associated_contig_380,VSDI02000384.1
associated_contig_381,VSDI02000385.1
associated_contig_382,VSDI02000386.1
associated_contig_383,VSDI02000387.1
associated_contig_384,VSDI02000388.1
associated_contig_385,VSDI02000389.1
associated_contig_433,VSDI02000437.1
associated_contig_424,VSDI02000428.1
associated_contig_425,VSDI02000429.1
associated_contig_426,VSDI02000430.1
associated_contig_427,VSDI02000431.1
associated_contig_428,VSDI02000432.1
associated_contig_429,VSDI02000433.1
associated_contig_430,VSDI02000434.1
associated_contig_431,VSDI02000435.1
associated_contig_432,VSDI02000436.1
associated_contig_423,VSDI02000427.1
associated_contig_434,VSDI02000438.1
associated_contig_435,VSDI02000439.1
associated_contig_436,VSDI02000440.1
associated_contig_437,VSDI02000441.1
associated_contig_438,VSDI02000442.1
associated_contig_439,VSDI02000443.1
associated_contig_440,VSDI02000444.1
associated_contig_441,VSDI02000445.1
associated_contig_414,VSDI02000418.1
associated_contig_406,VSDI02000410.1
associated_contig_407,VSDI02000411.1
associated_contig_408,VSDI02000412.1
associated_contig_409,VSDI02000413.1
associated_contig_410,VSDI02000414.1
associated_contig_411,VSDI02000415.1
associated_contig_412,VSDI02000416.1
associated_contig_413,VSDI02000417.1
associated_contig_368,VSDI02000372.1
associated_contig_415,VSDI02000419.1
associated_contig_416,VSDI02000420.1
associated_contig_417,VSDI02000421.1
associated_contig_418,VSDI02000422.1
associated_contig_419,VSDI02000423.1
associated_contig_420,VSDI02000424.1
associated_contig_421,VSDI02000425.1
associated_contig_422,VSDI02000426.1
associated_contig_322,VSDI02000326.1
associated_contig_313,VSDI02000317.1
associated_contig_314,VSDI02000318.1
associated_contig_315,VSDI02000319.1
associated_contig_316,VSDI02000320.1
associated_contig_317,VSDI02000321.1
associated_contig_318,VSDI02000322.1
associated_contig_319,VSDI02000323.1
associated_contig_320,VSDI02000324.1
associated_contig_321,VSDI02000325.1
associated_contig_312,VSDI02000316.1
associated_contig_323,VSDI02000327.1
associated_contig_324,VSDI02000328.1
associated_contig_325,VSDI02000329.1
associated_contig_326,VSDI02000330.1
associated_contig_327,VSDI02000331.1
associated_contig_328,VSDI02000332.1
associated_contig_329,VSDI02000333.1
associated_contig_330,VSDI02000334.1
associated_contig_303,VSDI02000307.1
associated_contig_295,VSDI02000299.1
associated_contig_296,VSDI02000300.1
associated_contig_297,VSDI02000301.1
associated_contig_298,VSDI02000302.1
associated_contig_299,VSDI02000303.1
associated_contig_300,VSDI02000304.1
associated_contig_301,VSDI02000305.1
associated_contig_302,VSDI02000306.1
associated_contig_331,VSDI02000335.1
associated_contig_304,VSDI02000308.1
associated_contig_305,VSDI02000309.1
associated_contig_306,VSDI02000310.1
associated_contig_307,VSDI02000311.1
associated_contig_308,VSDI02000312.1
associated_contig_309,VSDI02000313.1
associated_contig_310,VSDI02000314.1
associated_contig_311,VSDI02000315.1
associated_contig_359,VSDI02000363.1
associated_contig_350,VSDI02000354.1
associated_contig_351,VSDI02000355.1
associated_contig_352,VSDI02000356.1
associated_contig_353,VSDI02000357.1
associated_contig_354,VSDI02000358.1
associated_contig_355,VSDI02000359.1
associated_contig_356,VSDI02000360.1
associated_contig_357,VSDI02000361.1
associated_contig_358,VSDI02000362.1
associated_contig_349,VSDI02000353.1
associated_contig_360,VSDI02000364.1
associated_contig_361,VSDI02000365.1
associated_contig_362,VSDI02000366.1
associated_contig_363,VSDI02000367.1
associated_contig_364,VSDI02000368.1
associated_contig_365,VSDI02000369.1
associated_contig_366,VSDI02000370.1
associated_contig_367,VSDI02000371.1
associated_contig_340,VSDI02000344.1
associated_contig_332,VSDI02000336.1
associated_contig_333,VSDI02000337.1
associated_contig_334,VSDI02000338.1
associated_contig_335,VSDI02000339.1
associated_contig_336,VSDI02000340.1
associated_contig_337,VSDI02000341.1
associated_contig_338,VSDI02000342.1
associated_contig_339,VSDI02000343.1
associated_contig_442,VSDI02000446.1
associated_contig_341,VSDI02000345.1
associated_contig_342,VSDI02000346.1
associated_contig_343,VSDI02000347.1
associated_contig_344,VSDI02000348.1
associated_contig_345,VSDI02000349.1
associated_contig_346,VSDI02000350.1
associated_contig_347,VSDI02000351.1
associated_contig_348,VSDI02000352.1
associated_contig_544,VSDI02000548.1
associated_contig_535,VSDI02000539.1
associated_contig_536,VSDI02000540.1
associated_contig_537,VSDI02000541.1
associated_contig_538,VSDI02000542.1
associated_contig_539,VSDI02000543.1
associated_contig_540,VSDI02000544.1
associated_contig_541,VSDI02000545.1
associated_contig_542,VSDI02000546.1
associated_contig_543,VSDI02000547.1
associated_contig_534,VSDI02000538.1
associated_contig_545,VSDI02000549.1
associated_contig_546,VSDI02000550.1
associated_contig_547,VSDI02000551.1
associated_contig_548,VSDI02000552.1
associated_contig_549,VSDI02000553.1
associated_contig_550,VSDI02000554.1
associated_contig_551,VSDI02000555.1
associated_contig_552,VSDI02000556.1
associated_contig_525,VSDI02000529.1
associated_contig_517,VSDI02000521.1
associated_contig_518,VSDI02000522.1
associated_contig_519,VSDI02000523.1
associated_contig_520,VSDI02000524.1
associated_contig_521,VSDI02000525.1
associated_contig_522,VSDI02000526.1
associated_contig_523,VSDI02000527.1
associated_contig_524,VSDI02000528.1
associated_contig_553,VSDI02000557.1
associated_contig_526,VSDI02000530.1
associated_contig_527,VSDI02000531.1
associated_contig_528,VSDI02000532.1
associated_contig_529,VSDI02000533.1
associated_contig_530,VSDI02000534.1
associated_contig_531,VSDI02000535.1
associated_contig_532,VSDI02000536.1
associated_contig_533,VSDI02000537.1
associated_contig_582,VSDI02000586.1
associated_contig_572,VSDI02000576.1
associated_contig_573,VSDI02000577.1
associated_contig_574,VSDI02000578.1
associated_contig_576,VSDI02000580.1
associated_contig_577,VSDI02000581.1
associated_contig_578,VSDI02000582.1
associated_contig_579,VSDI02000583.1
associated_contig_580,VSDI02000584.1
associated_contig_581,VSDI02000585.1
associated_contig_571,VSDI02000575.1
associated_contig_583,VSDI02000587.1
associated_contig_584,VSDI02000588.1
associated_contig_585,VSDI02000589.1
associated_contig_586,VSDI02000590.1
associated_contig_587,VSDI02000591.1
associated_contig_588,VSDI02000592.1
associated_contig_589,VSDI02000593.1
associated_contig_591,VSDI02000594.1
associated_contig_562,VSDI02000566.1
associated_contig_554,VSDI02000558.1
associated_contig_555,VSDI02000559.1
associated_contig_556,VSDI02000560.1
associated_contig_557,VSDI02000561.1
associated_contig_558,VSDI02000562.1
associated_contig_559,VSDI02000563.1
associated_contig_560,VSDI02000564.1
associated_contig_561,VSDI02000565.1
associated_contig_516,VSDI02000520.1
associated_contig_563,VSDI02000567.1
associated_contig_564,VSDI02000568.1
associated_contig_565,VSDI02000569.1
associated_contig_566,VSDI02000570.1
associated_contig_567,VSDI02000571.1
associated_contig_568,VSDI02000572.1
associated_contig_569,VSDI02000573.1
associated_contig_570,VSDI02000574.1
associated_contig_470,VSDI02000474.1
associated_contig_461,VSDI02000465.1
associated_contig_462,VSDI02000466.1
associated_contig_463,VSDI02000467.1
associated_contig_464,VSDI02000468.1
associated_contig_465,VSDI02000469.1
associated_contig_466,VSDI02000470.1
associated_contig_467,VSDI02000471.1
associated_contig_468,VSDI02000472.1
associated_contig_469,VSDI02000473.1
associated_contig_460,VSDI02000464.1
associated_contig_471,VSDI02000475.1
associated_contig_472,VSDI02000476.1
associated_contig_473,VSDI02000477.1
associated_contig_474,VSDI02000478.1
associated_contig_475,VSDI02000479.1
associated_contig_476,VSDI02000480.1
associated_contig_477,VSDI02000481.1
associated_contig_478,VSDI02000482.1
associated_contig_451,VSDI02000455.1
associated_contig_443,VSDI02000447.1
associated_contig_444,VSDI02000448.1
associated_contig_445,VSDI02000449.1
associated_contig_446,VSDI02000450.1
associated_contig_447,VSDI02000451.1
associated_contig_448,VSDI02000452.1
associated_contig_449,VSDI02000453.1
associated_contig_450,VSDI02000454.1
associated_contig_479,VSDI02000483.1
associated_contig_452,VSDI02000456.1
associated_contig_453,VSDI02000457.1
associated_contig_454,VSDI02000458.1
associated_contig_455,VSDI02000459.1
associated_contig_456,VSDI02000460.1
associated_contig_457,VSDI02000461.1
associated_contig_458,VSDI02000462.1
associated_contig_459,VSDI02000463.1
associated_contig_507,VSDI02000511.1
associated_contig_498,VSDI02000502.1
associated_contig_499,VSDI02000503.1
associated_contig_500,VSDI02000504.1
associated_contig_501,VSDI02000505.1
associated_contig_502,VSDI02000506.1
associated_contig_503,VSDI02000507.1
associated_contig_504,VSDI02000508.1
associated_contig_505,VSDI02000509.1
associated_contig_506,VSDI02000510.1
associated_contig_497,VSDI02000501.1
associated_contig_508,VSDI02000512.1
associated_contig_509,VSDI02000513.1
associated_contig_510,VSDI02000514.1
associated_contig_511,VSDI02000515.1
associated_contig_512,VSDI02000516.1
associated_contig_513,VSDI02000517.1
associated_contig_514,VSDI02000518.1
associated_contig_515,VSDI02000519.1
associated_contig_488,VSDI02000492.1
associated_contig_480,VSDI02000484.1
associated_contig_481,VSDI02000485.1
associated_contig_482,VSDI02000486.1
associated_contig_483,VSDI02000487.1
associated_contig_484,VSDI02000488.1
associated_contig_485,VSDI02000489.1
associated_contig_486,VSDI02000490.1
associated_contig_487,VSDI02000491.1
associated_contig_294,VSDI02000298.1
associated_contig_489,VSDI02000493.1
associated_contig_490,VSDI02000494.1
associated_contig_491,VSDI02000495.1
associated_contig_492,VSDI02000496.1
associated_contig_493,VSDI02000497.1
associated_contig_494,VSDI02000498.1
associated_contig_495,VSDI02000499.1
associated_contig_496,VSDI02000500.1
associated_contig_101,VSDI02000105.1
associated_contig_92,VSDI02000096.1
associated_contig_93,VSDI02000097.1
associated_contig_94,VSDI02000098.1
associated_contig_95,VSDI02000099.1
associated_contig_96,VSDI02000100.1
associated_contig_97,VSDI02000101.1
associated_contig_98,VSDI02000102.1
associated_contig_99,VSDI02000103.1
associated_contig_100,VSDI02000104.1
associated_contig_91,VSDI02000095.1
associated_contig_102,VSDI02000106.1
associated_contig_103,VSDI02000107.1
associated_contig_104,VSDI02000108.1
associated_contig_105,VSDI02000109.1
associated_contig_106,VSDI02000110.1
associated_contig_107,VSDI02000111.1
associated_contig_108,VSDI02000112.1
associated_contig_109,VSDI02000113.1
associated_contig_82,VSDI02000086.1
associated_contig_74,VSDI02000078.1
associated_contig_75,VSDI02000079.1
associated_contig_76,VSDI02000080.1
associated_contig_77,VSDI02000081.1
associated_contig_78,VSDI02000082.1
associated_contig_79,VSDI02000083.1
associated_contig_80,VSDI02000084.1
associated_contig_81,VSDI02000085.1
associated_contig_110,VSDI02000114.1
associated_contig_83,VSDI02000087.1
associated_contig_84,VSDI02000088.1
associated_contig_85,VSDI02000089.1
associated_contig_86,VSDI02000090.1
associated_contig_87,VSDI02000091.1
associated_contig_88,VSDI02000092.1
associated_contig_89,VSDI02000093.1
associated_contig_90,VSDI02000094.1
associated_contig_138,VSDI02000142.1
associated_contig_129,VSDI02000133.1
associated_contig_130,VSDI02000134.1
associated_contig_131,VSDI02000135.1
associated_contig_132,VSDI02000136.1
associated_contig_133,VSDI02000137.1
associated_contig_134,VSDI02000138.1
associated_contig_135,VSDI02000139.1
associated_contig_136,VSDI02000140.1
associated_contig_137,VSDI02000141.1
associated_contig_128,VSDI02000132.1
associated_contig_139,VSDI02000143.1
associated_contig_140,VSDI02000144.1
associated_contig_141,VSDI02000145.1
associated_contig_142,VSDI02000146.1
associated_contig_143,VSDI02000147.1
associated_contig_144,VSDI02000148.1
associated_contig_145,VSDI02000149.1
associated_contig_146,VSDI02000150.1
associated_contig_119,VSDI02000123.1
associated_contig_111,VSDI02000115.1
associated_contig_112,VSDI02000116.1
associated_contig_113,VSDI02000117.1
associated_contig_114,VSDI02000118.1
associated_contig_115,VSDI02000119.1
associated_contig_116,VSDI02000120.1
associated_contig_117,VSDI02000121.1
associated_contig_118,VSDI02000122.1
associated_contig_73,VSDI02000077.1
associated_contig_120,VSDI02000124.1
associated_contig_121,VSDI02000125.1
associated_contig_122,VSDI02000126.1
associated_contig_123,VSDI02000127.1
associated_contig_124,VSDI02000128.1
associated_contig_125,VSDI02000129.1
associated_contig_126,VSDI02000130.1
associated_contig_127,VSDI02000131.1
associated_contig_28,VSDI02000032.1
associated_contig_19,VSDI02000023.1
associated_contig_20,VSDI02000024.1
associated_contig_21,VSDI02000025.1
associated_contig_22,VSDI02000026.1
associated_contig_23,VSDI02000027.1
associated_contig_24,VSDI02000028.1
associated_contig_25,VSDI02000029.1
associated_contig_26,VSDI02000030.1
associated_contig_27,VSDI02000031.1
associated_contig_18,VSDI02000022.1
associated_contig_29,VSDI02000033.1
associated_contig_30,VSDI02000034.1
associated_contig_31,VSDI02000035.1
associated_contig_32,VSDI02000036.1
associated_contig_33,VSDI02000037.1
associated_contig_34,VSDI02000038.1
associated_contig_35,VSDI02000039.1
associated_contig_36,VSDI02000040.1
associated_contig_9,VSDI02000013.1
associated_contig_1,VSDI02000005.1
associated_contig_2,VSDI02000006.1
associated_contig_3,VSDI02000007.1
associated_contig_4,VSDI02000008.1
associated_contig_5,VSDI02000009.1
associated_contig_6,VSDI02000010.1
associated_contig_7,VSDI02000011.1
associated_contig_8,VSDI02000012.1
associated_contig_37,VSDI02000041.1
associated_contig_10,VSDI02000014.1
associated_contig_11,VSDI02000015.1
associated_contig_12,VSDI02000016.1
associated_contig_13,VSDI02000017.1
associated_contig_14,VSDI02000018.1
associated_contig_15,VSDI02000019.1
associated_contig_16,VSDI02000020.1
associated_contig_17,VSDI02000021.1
associated_contig_64,VSDI02000068.1
associated_contig_56,VSDI02000060.1
associated_contig_57,VSDI02000061.1
associated_contig_58,VSDI02000062.1
associated_contig_59,VSDI02000063.1
associated_contig_60,VSDI02000064.1
associated_contig_61,VSDI02000065.1
associated_contig_62,VSDI02000066.1
associated_contig_63,VSDI02000067.1
associated_contig_55,VSDI02000059.1
associated_contig_65,VSDI02000069.1
associated_contig_66,VSDI02000070.1
associated_contig_67,VSDI02000071.1
associated_contig_68,VSDI02000072.1
associated_contig_69,VSDI02000073.1
associated_contig_70,VSDI02000074.1
associated_contig_71,VSDI02000075.1
associated_contig_72,VSDI02000076.1
associated_contig_46,VSDI02000050.1
associated_contig_38,VSDI02000042.1
associated_contig_39,VSDI02000043.1
associated_contig_40,VSDI02000044.1
associated_contig_41,VSDI02000045.1
associated_contig_42,VSDI02000046.1
associated_contig_43,VSDI02000047.1
associated_contig_44,VSDI02000048.1
associated_contig_45,VSDI02000049.1
associated_contig_293,VSDI02000297.1
associated_contig_47,VSDI02000051.1
associated_contig_48,VSDI02000052.1
associated_contig_49,VSDI02000053.1
associated_contig_50,VSDI02000054.1
associated_contig_51,VSDI02000055.1
associated_contig_52,VSDI02000056.1
associated_contig_53,VSDI02000057.1
associated_contig_54,VSDI02000058.1
associated_contig_248,VSDI02000252.1
associated_contig_239,VSDI02000243.1
associated_contig_240,VSDI02000244.1
associated_contig_241,VSDI02000245.1
associated_contig_242,VSDI02000246.1
associated_contig_243,VSDI02000247.1
associated_contig_244,VSDI02000248.1
associated_contig_245,VSDI02000249.1
associated_contig_246,VSDI02000250.1
associated_contig_247,VSDI02000251.1
associated_contig_238,VSDI02000242.1
associated_contig_249,VSDI02000253.1
associated_contig_250,VSDI02000254.1
associated_contig_251,VSDI02000255.1
associated_contig_252,VSDI02000256.1
associated_contig_253,VSDI02000257.1
associated_contig_254,VSDI02000258.1
associated_contig_255,VSDI02000259.1
associated_contig_256,VSDI02000260.1
associated_contig_229,VSDI02000233.1
associated_contig_221,VSDI02000225.1
associated_contig_222,VSDI02000226.1
associated_contig_223,VSDI02000227.1
associated_contig_224,VSDI02000228.1
associated_contig_225,VSDI02000229.1
associated_contig_226,VSDI02000230.1
associated_contig_227,VSDI02000231.1
associated_contig_228,VSDI02000232.1
associated_contig_257,VSDI02000261.1
associated_contig_230,VSDI02000234.1
associated_contig_231,VSDI02000235.1
associated_contig_232,VSDI02000236.1
associated_contig_233,VSDI02000237.1
associated_contig_234,VSDI02000238.1
associated_contig_235,VSDI02000239.1
associated_contig_236,VSDI02000240.1
associated_contig_237,VSDI02000241.1
associated_contig_284,VSDI02000288.1
associated_contig_276,VSDI02000280.1
associated_contig_277,VSDI02000281.1
associated_contig_278,VSDI02000282.1
associated_contig_279,VSDI02000283.1
associated_contig_280,VSDI02000284.1
associated_contig_281,VSDI02000285.1
associated_contig_282,VSDI02000286.1
associated_contig_283,VSDI02000287.1
associated_contig_275,VSDI02000279.1
associated_contig_285,VSDI02000289.1
associated_contig_286,VSDI02000290.1
associated_contig_287,VSDI02000291.1
associated_contig_288,VSDI02000292.1
associated_contig_289,VSDI02000293.1
associated_contig_290,VSDI02000294.1
associated_contig_291,VSDI02000295.1
associated_contig_292,VSDI02000296.1
associated_contig_266,VSDI02000270.1
associated_contig_258,VSDI02000262.1
associated_contig_259,VSDI02000263.1
associated_contig_260,VSDI02000264.1
associated_contig_261,VSDI02000265.1
associated_contig_262,VSDI02000266.1
associated_contig_263,VSDI02000267.1
associated_contig_264,VSDI02000268.1
associated_contig_265,VSDI02000269.1
associated_contig_148,VSDI02000152.1
associated_contig_267,VSDI02000271.1
associated_contig_268,VSDI02000272.1
associated_contig_269,VSDI02000273.1
associated_contig_270,VSDI02000274.1
associated_contig_271,VSDI02000275.1
associated_contig_272,VSDI02000276.1
associated_contig_273,VSDI02000277.1
associated_contig_274,VSDI02000278.1
associated_contig_175,VSDI02000179.1
associated_contig_166,VSDI02000170.1
associated_contig_167,VSDI02000171.1
associated_contig_168,VSDI02000172.1
associated_contig_169,VSDI02000173.1
associated_contig_170,VSDI02000174.1
associated_contig_171,VSDI02000175.1
associated_contig_172,VSDI02000176.1
associated_contig_173,VSDI02000177.1
associated_contig_174,VSDI02000178.1
associated_contig_165,VSDI02000169.1
associated_contig_176,VSDI02000180.1
associated_contig_177,VSDI02000181.1
associated_contig_178,VSDI02000182.1
associated_contig_179,VSDI02000183.1
associated_contig_180,VSDI02000184.1
associated_contig_181,VSDI02000185.1
associated_contig_182,VSDI02000186.1
associated_contig_183,VSDI02000187.1
associated_contig_156,VSDI02000160.1
associated_contig_147,VSDI02000151.1
associated_contig_149,VSDI02000153.1
associated_contig_150,VSDI02000154.1
associated_contig_151,VSDI02000155.1
associated_contig_152,VSDI02000156.1
associated_contig_153,VSDI02000157.1
associated_contig_154,VSDI02000158.1
associated_contig_155,VSDI02000159.1
associated_contig_219,VSDI02000223.1
associated_contig_157,VSDI02000161.1
associated_contig_158,VSDI02000162.1
associated_contig_159,VSDI02000163.1
associated_contig_160,VSDI02000164.1
associated_contig_161,VSDI02000165.1
associated_contig_162,VSDI02000166.1
associated_contig_163,VSDI02000167.1
associated_contig_164,VSDI02000168.1
associated_contig_211,VSDI02000215.1
associated_contig_203,VSDI02000207.1
associated_contig_204,VSDI02000208.1
associated_contig_205,VSDI02000209.1
associated_contig_206,VSDI02000210.1
associated_contig_207,VSDI02000211.1
associated_contig_208,VSDI02000212.1
associated_contig_209,VSDI02000213.1
associated_contig_210,VSDI02000214.1
associated_contig_185,VSDI02000189.1
associated_contig_212,VSDI02000216.1
associated_contig_213,VSDI02000217.1
associated_contig_214,VSDI02000218.1
associated_contig_215,VSDI02000219.1
associated_contig_216,VSDI02000220.1
associated_contig_217,VSDI02000221.1
associated_contig_218,VSDI02000222.1
associated_contig_220,VSDI02000224.1
associated_contig_201,VSDI02000205.1
associated_contig_184,VSDI02000188.1
associated_contig_186,VSDI02000190.1
associated_contig_187,VSDI02000191.1
associated_contig_188,VSDI02000192.1
associated_contig_189,VSDI02000193.1
associated_contig_190,VSDI02000194.1
associated_contig_191,VSDI02000195.1
associated_contig_192,VSDI02000196.1
associated_contig_193,VSDI02000197.1
associated_contig_194,VSDI02000198.1
associated_contig_195,VSDI02000199.1
associated_contig_196,VSDI02000200.1
associated_contig_197,VSDI02000201.1
associated_contig_198,VSDI02000202.1
associated_contig_199,VSDI02000203.1
associated_contig_200,VSDI02000204.1
associated_contig_202,VSDI02000206.1
associated_contig_575,VSDI02000579.1
III,CM025454.2
X,CM025456.2
IV,CM025455.2
II,CM025453.2